Channel->,310,500,805,405,360,160,170,260,465,700
UTC time,Act Air Density,Act Wind Direction,Act Wind Measurement Quality,Act Wind Speed km/u,Avg Absolute air pressure,Avg Air Temprature,Avg Dewpoint temperature,Avg Relative humidity,Avg Wind Speed km/u,Precipitation Type
02:00,1.209908,166.7257,100,2.375065,1008.589,15.55679,12.97817,84.64178,6.449194,Liquid precipitation
02:05,1.210979,18.64166,100,2.724778,1008.597,15.4181,12.94124,85.19141,2.841435,Liquid precipitation
02:10,1.210825,331.5911,100,1.542791,1008.625,15.39503,13.04216,85.88164,1.482217,Liquid precipitation
02:15,1.210855,0,100,0,1008.638,15.37581,13.14812,86.58403,1.242681,Liquid precipitation
02:20,1.210602,0,100,0,1008.634,15.37136,13.26078,87.2474,0,Liquid precipitation
02:25,1.211022,89.62304,100,2.254421,1008.618,15.34481,13.31752,87.71955,2.053092,Liquid precipitation
02:30,1.211141,70.26346,100,3.850984,1008.601,15.32015,13.41279,88.4052,1.195149,Liquid precipitation
02:35,1.210969,0,100,0,1008.582,15.2519,13.41308,88.79501,3.233373,Liquid precipitation
02:40,1.211363,346.0929,100,1.874501,1008.599,15.24373,13.50825,89.39317,2.348301,Liquid precipitation
02:45,1.211288,339.0689,100,3.393788,1008.6,15.19811,13.52849,89.77328,1.590535,Liquid precipitation
02:50,1.210951,274.139,100,2.901261,1008.674,15.21685,13.61049,90.14491,1.896614,Liquid precipitation
02:55,1.211365,251.1194,100,3.024914,1008.62,15.19366,13.62841,90.38414,2.103501,Liquid precipitation
