Channel->,310,500,805,405,360,160,170,260,465,820,700
UTC time,Act Air Density,Act Wind Direction,Act Wind Measurement Quality,Act Wind Speed km/u,Avg Absolute air pressure,Avg Air Temprature,Avg Dewpoint temperature,Avg Relative humidity,Avg Wind Speed km/u,Precipitation Intensity mm/h,Precipitation Type
03:00,1.202383,188.978,100,3.914154,1010.873,17.74084,15.19275,85.04503,5.154073,0,No precipitation
03:05,1.202462,167.3448,100,5.651559,1010.826,17.78878,15.27424,85.23335,5.316801,0,No precipitation
03:10,1.202395,128.3428,100,2.034313,1010.816,17.81183,15.28797,85.18486,3.272137,0,No precipitation
03:15,1.202177,147.8701,100,3.977571,1010.861,17.81271,15.2668,85.06455,2.722947,0,No precipitation
03:20,1.20205,176.8987,100,4.502948,1010.836,17.87363,15.30646,84.95512,5.125788,0,No precipitation
03:25,1.201828,151.3963,100,4.888806,1010.835,17.92351,15.36187,84.99054,4.753194,0,No precipitation
03:30,1.201924,148.3405,100,0,1010.872,17.90741,15.35031,85.01357,3.819281,0,No precipitation
03:35,1.202688,203.4634,100,4.020587,1010.917,17.84349,15.28746,85.01263,3.240588,0,No precipitation
03:40,1.20226,0,100,0,1010.924,17.8656,15.34237,85.19399,2.515928,0,No precipitation
03:45,1.202804,195.5347,100,5.763719,1010.934,17.77738,15.24441,85.13164,5.047224,0,No precipitation
03:50,1.202995,203.8225,100,7.257043,1010.951,17.74923,15.32434,85.72102,5.090441,0.1,Liquid precipitation
03:55,1.203267,167.8433,100,11.02912,1011.006,17.65878,15.3165,86.16738,7.794203,1.7,Liquid precipitation
