Date,2016/04/01,2016/04/01,2016/04/01,2016/04/01,2016/04/01,2016/04/01,2016/04/01,2016/04/01,2016/04/01,
294.74,1.50,1.88,0.50,0.13,1.31,0.69,0.56,0.81,0.88,
295.17,2.37,1.62,1.75,0.25,1.25,1.06,0.81,0.81,0.75,
295.61,2.96,1.61,1.73,0.00,1.17,1.17,0.99,0.74,1.17,
296.04,3.30,1.59,1.22,0.61,0.85,0.92,1.16,1.10,1.16,
296.47,2.92,1.70,1.58,1.34,1.22,0.67,0.79,1.40,0.79,
296.91,2.65,1.69,1.81,0.60,1.39,0.72,0.60,1.26,1.08,
297.34,2.49,1.31,1.19,0.36,1.37,0.65,0.71,1.19,1.48,
297.78,2.05,2.17,1.69,0.48,1.75,0.84,0.72,1.15,1.57,
298.21,2.42,2.78,2.18,1.09,1.87,1.09,0.79,1.33,1.63,
298.65,2.51,2.63,2.03,1.31,1.79,1.49,1.08,1.43,1.37,
299.08,2.75,3.23,1.79,1.43,2.15,1.43,1.61,1.20,1.49,
299.51,3.60,3.48,2.28,2.64,2.52,1.68,1.62,1.50,1.62,
299.95,3.83,3.83,2.75,2.27,2.93,2.03,1.61,1.55,1.91,
300.38,3.79,4.26,3.43,2.37,2.96,2.43,2.07,1.78,2.25,
300.82,4.37,3.90,4.37,3.19,2.95,2.66,2.60,2.01,2.36,
301.25,5.47,4.28,5.00,3.09,3.33,3.15,2.74,2.38,2.74,
301.68,6.15,4.73,4.85,3.66,3.37,3.25,3.19,2.96,2.96,
302.12,6.58,5.28,5.17,4.58,3.82,3.29,3.40,3.58,2.82,
302.55,6.92,6.10,6.10,5.16,4.64,3.64,3.64,3.87,3.17,
302.99,8.13,6.62,6.51,5.46,5.29,4.24,4.01,4.36,4.01,
303.42,8.45,8.33,7.39,6.46,6.22,4.99,4.81,4.99,4.93,
303.85,9.78,9.78,8.72,7.54,6.90,5.95,5.54,5.95,5.48,
304.29,11.86,10.69,10.45,8.93,7.34,7.16,6.46,6.58,5.99,
304.72,13.78,11.91,11.33,9.11,8.29,8.00,7.71,7.06,7.12,
305.15,15.53,13.43,12.61,11.21,9.11,8.64,8.70,8.58,7.94,
305.59,17.29,15.09,14.39,12.30,10.27,9.63,9.29,9.75,8.59,
306.02,18.72,16.64,16.06,13.17,11.50,10.86,10.40,10.57,9.88,
306.46,20.73,17.85,17.28,14.74,12.67,11.80,11.75,11.98,11.17,
306.89,23.07,20.85,19.69,16.66,14.50,13.46,12.93,13.63,12.64,
307.32,26.31,23.27,21.40,18.71,16.02,15.03,14.50,15.32,14.15,
307.76,28.93,25.90,23.33,21.11,17.73,16.91,16.10,17.03,15.57,
308.19,31.43,28.63,25.59,23.14,19.92,18.46,17.70,18.70,17.29,
308.62,35.11,31.58,28.65,25.95,22.25,20.72,19.49,20.55,19.31,
309.06,38.00,34.47,31.53,27.77,24.36,23.06,21.47,22.41,21.53,
309.49,41.27,37.72,34.77,30.39,26.31,25.48,23.71,24.48,23.71,
309.92,45.07,40.22,38.68,32.89,28.33,27.80,25.85,26.56,25.55,
310.35,49.31,43.49,42.07,35.17,30.66,30.30,28.28,28.58,28.16,
310.79,52.73,46.20,44.18,37.88,32.66,32.07,30.58,31.12,30.22,
311.22,55.66,49.15,47.02,40.74,34.94,34.05,32.15,33.51,31.62,
311.65,59.17,52.74,50.48,43.10,37.92,36.55,34.17,35.90,34.11,
312.09,62.72,55.36,52.74,45.02,40.33,38.78,36.29,38.07,36.77,
312.52,66.03,59.57,56.46,48.09,43.36,41.51,38.82,40.97,39.48,
312.95,70.50,63.76,60.63,51.49,46.08,44.51,41.38,43.73,41.93,
313.38,75.13,67.17,64.27,54.27,48.60,47.45,44.14,46.37,44.32,
313.82,79.09,70.79,67.29,57.18,51.28,49.84,47.19,48.64,46.95,
314.25,83.55,74.40,70.91,61.28,54.05,52.07,49.72,51.52,49.54,
314.68,87.75,78.24,74.87,63.67,56.81,54.83,52.24,54.05,52.00,
315.12,91.37,81.52,78.52,65.67,59.31,57.33,54.87,56.67,54.81,
315.55,95.59,83.99,81.48,68.79,61.56,59.34,57.49,59.40,57.31,
315.98,100.34,89.25,86.11,72.48,65.13,62.59,60.30,62.89,60.54,
316.41,105.75,93.67,89.31,76.02,67.68,65.38,63.21,66.11,63.33,
316.85,109.36,97.08,91.90,79.37,70.22,67.69,65.58,69.13,65.64,
317.28,113.25,101.09,95.56,82.44,73.47,70.16,68.00,71.91,68.30,
317.71,118.56,105.30,99.52,85.54,76.69,73.01,70.66,74.76,71.39,
318.14,122.01,109.27,102.78,88.23,79.28,75.61,73.33,77.23,74.29,
318.57,126.33,113.11,106.86,92.08,81.86,78.43,76.21,80.36,76.99,
319.01,131.56,117.01,111.60,95.12,84.36,81.47,79.01,82.98,79.55,
319.44,136.04,120.54,114.89,97.23,87.01,84.07,82.02,85.33,82.74,
319.87,139.83,123.81,117.60,100.75,89.04,86.11,84.25,88.20,85.03,
320.30,143.42,127.69,121.38,103.75,92.02,88.68,86.30,91.12,87.19,
320.73,147.64,131.82,125.39,106.12,95.17,91.60,89.05,94.10,90.36,
321.17,151.87,135.43,128.69,109.29,98.00,94.27,91.79,97.23,93.62,
321.60,157.77,141.83,134.34,114.25,102.66,98.32,95.59,101.77,97.96,
322.03,164.89,148.56,140.45,118.99,106.95,103.01,99.55,106.35,102.12,
322.46,171.45,153.97,145.41,123.66,110.87,107.25,103.56,110.46,105.94,
322.89,177.39,159.31,150.45,128.11,114.93,110.56,107.31,114.22,109.79,
323.33,184.73,165.40,156.67,132.62,119.54,114.88,111.29,118.71,114.23,
323.76,191.51,171.09,162.52,136.82,123.80,119.34,115.35,122.98,118.46,
324.19,196.86,177.16,168.07,141.38,127.74,123.61,119.35,127.22,122.73,
324.62,203.60,181.61,174.32,145.84,131.43,127.90,123.33,131.43,126.69,
325.05,211.78,188.88,180.78,150.82,136.31,132.84,127.75,136.19,131.80,
325.48,218.60,194.47,185.96,156.31,140.28,136.71,131.89,140.85,135.97,
325.92,224.64,200.37,190.79,161.39,144.46,140.36,135.46,145.15,139.39,
326.35,231.33,206.15,196.28,165.76,149.25,144.48,139.15,149.48,143.80,
326.78,236.75,211.34,200.31,169.16,152.91,147.79,142.33,152.85,147.85,
327.21,242.15,216.90,204.94,173.20,156.67,151.08,145.66,156.44,151.53,
327.64,246.95,221.52,209.42,177.11,159.84,154.34,148.62,159.78,154.34,
328.07,251.49,224.61,212.94,179.89,161.88,157.20,151.08,162.26,156.48,
328.50,255.55,227.87,215.62,182.03,164.15,159.01,153.48,163.98,158.90,
328.93,258.38,230.09,217.63,184.35,165.39,160.13,154.87,165.50,160.24,
329.37,260.56,231.98,219.73,185.56,167.19,161.55,155.96,166.76,161.33,
329.80,262.06,233.82,221.78,186.82,168.28,162.52,156.98,167.96,162.74,
330.23,262.94,234.26,222.56,187.56,168.74,162.73,157.67,168.47,163.52,
330.66,265.74,237.26,225.48,189.85,170.35,164.35,159.05,170.40,165.35,
331.09,268.07,239.14,226.30,191.42,171.58,165.15,160.19,171.79,166.41,
331.52,268.90,240.06,226.41,192.19,171.93,165.26,160.61,172.45,166.71,
331.95,268.41,240.21,226.21,191.98,171.90,164.96,160.41,172.21,166.80,
332.38,269.30,240.36,226.49,191.98,172.00,164.91,160.41,172.25,167.14,
332.81,268.60,240.64,226.62,191.45,171.72,164.70,160.55,172.12,167.36,
333.24,268.42,240.47,226.89,191.60,171.33,164.69,160.38,172.12,166.97,
333.68,268.89,239.57,227.60,191.12,170.78,164.84,160.28,172.05,166.71,
334.11,270.50,240.53,228.07,191.10,171.01,165.36,161.03,172.32,167.65,
334.54,270.99,241.07,227.89,192.11,170.90,165.08,161.13,172.92,167.87,
334.97,271.43,241.43,228.52,192.54,171.32,165.20,160.97,173.31,167.71,
335.40,272.52,242.67,229.62,192.82,172.12,165.92,161.42,174.18,168.65,
335.83,273.81,244.13,230.31,193.58,172.75,166.54,162.37,175.40,169.97,
336.26,275.64,246.52,232.19,195.36,174.56,168.08,163.67,177.08,171.43,
336.69,278.34,248.91,234.01,196.77,175.69,169.56,164.65,178.64,172.65,
337.12,280.84,250.59,235.51,198.00,177.04,170.85,165.95,179.82,173.94,
337.55,283.19,252.83,237.21,199.21,178.30,171.91,167.39,181.19,175.33,
337.98,286.01,254.75,239.12,200.92,179.71,173.26,168.47,182.48,176.46,
338.41,288.81,256.73,241.26,202.13,181.18,174.84,169.66,184.05,177.88,
338.84,290.69,258.62,243.32,203.51,182.19,176.12,171.05,185.50,179.22,
339.27,292.74,259.43,245.32,204.62,182.87,177.17,172.03,186.56,180.11,
339.70,295.42,261.85,247.93,206.17,184.20,178.67,173.40,188.16,181.88,
340.13,298.03,263.78,249.29,208.26,185.27,179.71,174.85,189.80,183.26,
340.56,299.23,265.13,250.52,209.28,185.96,180.19,175.30,190.86,183.64,
340.99,300.09,265.70,251.47,209.60,186.65,180.60,175.63,191.26,184.06,
341.42,300.73,266.51,251.65,209.75,187.16,180.91,175.93,191.65,184.63,
341.85,300.99,267.01,251.92,210.07,187.48,180.99,176.21,191.78,185.05,
342.28,301.34,267.12,252.14,210.26,187.27,181.03,176.00,191.70,184.94,
342.71,301.94,266.76,252.69,210.08,186.74,181.15,175.95,191.50,184.58,
343.14,303.21,267.29,253.11,210.02,187.16,181.31,176.77,191.74,185.17,
343.57,303.72,267.28,253.18,210.72,187.15,181.13,176.66,191.91,185.01,
344.00,303.94,267.18,253.56,210.42,187.20,181.02,176.18,191.68,184.68,
344.43,304.00,267.25,254.24,210.21,187.26,181.26,176.36,191.88,185.02,
344.86,304.15,267.14,254.36,210.56,187.22,180.91,176.47,192.01,185.20,
345.29,305.03,268.73,255.67,211.29,188.04,181.59,176.54,192.67,185.90,
345.72,306.66,270.11,256.26,212.28,188.63,181.93,176.94,193.35,186.42,
346.15,308.53,271.67,257.18,213.32,189.38,182.56,177.70,194.24,187.18,
346.58,310.02,272.91,258.41,214.24,190.47,183.11,178.24,195.07,187.90,
347.01,312.49,274.82,260.40,215.32,191.68,184.09,179.21,195.91,189.24,
347.44,315.45,277.53,262.64,216.76,193.43,185.83,180.67,197.50,191.11,
347.87,318.04,279.52,265.09,218.78,194.64,187.20,182.10,199.21,192.60,
348.30,321.10,281.42,267.97,220.48,195.98,188.80,183.51,201.05,193.99,
348.73,324.97,284.93,271.13,222.47,198.06,190.86,185.69,203.01,196.49,
349.16,328.09,287.52,273.25,225.35,199.50,192.14,187.40,205.18,198.34,
349.59,330.76,289.87,275.52,227.42,201.29,193.56,188.39,206.79,199.65,
350.02,331.02,290.26,275.71,227.24,201.24,193.53,188.42,206.93,199.96,
350.44,334.03,292.99,278.14,229.34,202.86,195.18,190.20,209.08,202.06,
350.87,337.07,296.27,280.68,231.78,204.86,196.92,191.93,211.05,204.13,
351.30,340.35,299.13,283.45,233.82,206.53,198.98,193.58,213.06,205.95,
351.73,343.62,301.56,285.59,235.80,208.02,200.57,195.41,214.99,207.58,
352.16,346.89,304.04,287.88,237.89,209.87,201.97,197.21,216.90,209.19,
352.59,349.55,305.90,289.70,239.42,211.33,203.12,198.33,218.21,210.46,
353.02,350.26,306.68,290.38,239.54,211.75,203.64,198.61,218.50,211.14,
353.45,350.34,306.30,290.26,239.48,211.44,203.60,198.66,218.50,211.05,
353.88,349.75,305.41,289.89,239.18,210.74,203.09,198.37,218.22,210.64,
354.31,348.23,304.35,288.58,237.71,209.57,202.04,197.19,216.85,209.61,
354.73,346.27,302.25,286.33,236.20,207.87,200.26,195.78,215.40,208.08,
355.16,343.57,299.95,283.94,234.50,206.14,198.38,193.96,213.89,206.03,
355.59,341.04,297.79,281.91,232.51,204.75,196.91,192.08,212.19,204.39,
356.02,339.91,296.97,280.89,231.38,203.88,195.91,191.15,211.28,203.74,
356.45,339.26,296.51,280.56,230.83,203.53,195.59,190.83,210.86,203.39,
356.88,338.78,295.98,279.98,230.34,202.92,195.12,190.26,210.42,202.92,
357.31,338.66,295.09,279.68,229.43,202.16,194.63,189.60,210.01,202.16,
357.74,338.59,294.80,279.05,228.44,201.59,194.00,189.54,209.60,201.80,
358.16,338.73,294.53,278.87,228.77,201.26,193.57,189.18,209.41,201.40,
358.59,338.17,294.17,278.54,227.74,200.90,193.30,188.53,209.10,201.04,
359.02,339.33,295.11,279.83,228.39,201.45,193.91,189.15,209.79,201.83,
359.45,341.48,296.72,281.17,229.75,202.15,194.80,190.21,210.98,202.96,
359.88,344.34,300.07,283.82,231.85,203.69,196.40,191.50,212.79,204.74,
360.31,348.92,304.05,287.17,234.60,205.82,198.51,193.68,215.42,207.01,
360.73,354.11,308.33,291.32,237.99,208.69,201.17,196.48,218.74,209.78,
361.16,360.13,313.62,296.11,241.77,212.07,204.47,199.71,222.33,213.30,
361.59,367.55,319.48,301.80,246.16,215.91,208.19,203.35,226.44,217.39,
362.02,374.74,325.64,307.70,250.44,220.05,211.78,207.21,230.67,221.49,
362.45,381.33,331.04,312.99,254.95,223.53,215.31,210.80,234.74,225.15,
362.88,387.73,336.25,318.34,258.93,226.82,218.93,214.01,238.58,228.59,
363.30,394.09,342.05,323.75,262.52,230.26,222.25,217.48,242.19,232.29,
363.73,400.51,347.60,328.85,267.10,233.75,225.50,220.94,246.28,235.83,
364.16,405.92,352.36,333.04,271.02,237.04,228.40,223.80,249.46,238.85,
364.59,411.37,357.25,337.38,274.42,240.16,231.43,226.54,252.65,242.24,
365.02,416.77,362.25,342.01,278.12,243.25,234.42,229.59,255.92,245.73,
365.44,421.22,366.73,345.68,281.41,246.14,237.03,231.85,258.83,248.64,
365.87,425.90,371.28,349.78,284.44,248.71,239.74,234.19,261.69,251.24,
366.30,430.16,374.54,352.98,287.23,251.15,242.01,236.41,264.26,253.52,
366.73,434.66,377.80,356.54,289.75,253.58,243.98,238.44,266.83,256.00,
367.16,438.57,380.84,359.19,292.20,255.66,245.85,240.12,268.94,257.96,
367.58,441.37,383.11,361.38,293.51,257.34,247.22,241.20,270.37,259.54,
368.01,442.68,384.15,363.00,294.30,258.36,248.18,242.09,271.44,260.54,
368.44,443.30,384.18,363.17,294.59,258.22,248.60,242.46,271.62,260.99,
368.87,442.98,384.64,363.06,293.81,257.73,248.40,242.18,271.23,260.88,
369.29,441.72,383.09,361.25,292.72,256.42,246.84,241.28,270.35,259.83,
369.72,439.18,380.62,358.46,291.35,254.82,245.00,239.46,268.58,257.79,
370.15,435.51,377.18,355.27,288.47,252.46,242.56,236.82,265.90,255.56,
370.58,432.33,374.15,352.63,285.89,250.31,240.41,234.54,263.92,253.70,
371.00,429.29,371.81,350.46,283.85,248.80,238.77,232.99,262.25,252.26,
371.43,427.02,369.40,348.57,282.32,246.88,237.23,231.29,260.59,250.46,
371.86,425.61,366.84,347.12,280.71,245.32,236.06,230.18,259.36,248.81,
372.29,425.34,366.31,346.19,279.53,244.78,235.30,229.94,258.77,248.03,
372.71,425.69,366.04,346.35,279.66,244.53,234.85,229.74,258.63,247.81,
373.14,424.88,365.45,345.75,279.06,244.09,234.53,228.95,258.06,247.12,
373.57,426.21,366.45,346.86,279.52,244.32,235.12,229.64,258.75,248.02,
374.00,427.85,368.05,347.85,280.81,244.87,235.98,230.55,259.92,248.98,
374.42,429.98,370.82,349.62,282.51,245.70,237.11,231.41,261.07,250.19,
374.85,433.56,373.87,352.40,284.69,247.35,238.50,233.05,263.26,251.88,
375.28,437.31,376.62,355.03,287.22,249.28,240.17,234.73,265.52,253.72,
375.70,440.91,379.93,358.14,289.58,251.66,241.93,236.38,267.75,255.89,
376.13,445.61,383.33,361.72,291.62,253.82,244.01,238.47,270.09,258.49,
376.56,449.18,386.90,364.68,293.40,256.09,245.94,240.44,272.42,260.71,
376.99,452.15,389.59,367.17,295.63,257.55,247.58,241.81,274.17,262.32,
377.41,453.80,390.35,368.41,296.33,258.11,248.33,242.46,275.06,262.90,
377.84,455.38,392.16,369.40,296.53,258.55,248.75,243.46,275.47,263.65,
378.27,454.96,391.81,368.87,296.74,257.91,248.02,243.13,275.26,263.51,
378.69,452.08,389.12,366.36,295.00,256.30,246.22,241.11,273.49,261.80,
379.12,448.02,385.48,362.50,291.67,253.87,243.83,238.71,270.96,259.54,
379.55,442.82,381.38,358.26,288.10,250.76,240.72,236.05,267.74,256.64,
379.97,435.43,375.71,352.50,283.66,247.19,236.90,232.10,263.47,252.72,
380.40,428.18,369.52,346.86,278.67,242.73,232.79,228.14,259.01,248.26,
380.83,421.16,363.15,340.76,273.92,238.33,228.70,224.13,254.70,243.81,
381.25,414.57,357.35,335.00,269.33,234.61,224.91,220.42,250.50,239.89,
381.68,409.29,352.29,330.52,265.66,231.32,221.85,217.36,246.88,236.52,
382.11,404.61,348.27,326.95,262.09,228.33,219.37,214.78,243.73,233.85,
382.53,401.09,345.37,324.40,260.01,226.21,217.63,213.01,241.87,231.89,
382.96,398.92,342.91,322.42,259.00,224.56,216.50,211.92,240.51,230.56,
383.39,397.87,342.41,322.03,258.00,223.78,215.72,211.47,239.74,229.98,
383.81,398.70,342.66,322.15,258.25,223.58,215.47,211.68,240.27,229.98,
384.24,399.26,342.51,322.33,258.64,223.75,215.57,211.57,240.65,229.98,
384.67,400.75,344.12,323.89,259.39,224.86,216.36,212.21,241.48,230.76,
385.09,405.01,347.41,327.02,261.53,226.80,218.18,214.27,243.59,232.94,
385.52,410.05,352.13,331.43,265.03,229.65,221.04,216.87,246.73,235.83,
385.95,416.05,357.34,336.34,268.92,232.69,224.15,219.87,250.37,239.25,
386.37,423.77,363.05,342.74,273.35,236.22,227.99,223.55,254.56,243.20,
386.80,432.09,369.82,349.13,278.14,240.68,232.02,227.90,259.24,247.76,
387.22,440.69,376.27,356.06,283.73,245.37,236.29,232.00,264.17,252.38,
387.65,447.89,382.68,362.18,288.30,249.40,240.08,235.64,268.42,256.38,
388.08,454.18,388.26,367.45,292.09,252.93,243.38,238.84,272.04,260.12,
388.50,459.42,392.68,371.33,295.68,255.82,246.01,241.45,275.27,263.01,
388.93,462.52,396.14,374.17,297.81,257.83,247.78,242.97,277.06,264.90,
389.36,465.36,398.10,376.06,298.86,258.69,248.75,244.05,278.51,265.92,
389.78,466.18,398.65,376.24,299.29,259.03,248.87,244.19,278.93,266.12,
390.21,465.36,397.85,375.49,298.93,258.73,248.25,243.37,278.04,265.56,
390.63,464.54,396.88,374.83,298.09,258.06,247.49,242.59,277.30,265.00,
391.06,463.63,396.07,373.95,296.75,257.37,246.95,241.92,276.83,264.57,
391.49,461.77,394.65,372.99,295.97,256.39,246.34,240.93,276.16,263.80,
391.91,460.83,393.20,371.94,295.15,255.47,245.66,240.40,275.36,263.09,
392.34,461.22,393.51,372.19,294.54,255.25,245.52,240.52,275.02,263.17,
392.76,461.22,393.31,371.63,294.80,254.90,245.15,240.29,275.08,262.69,
393.19,460.67,392.79,370.92,294.43,254.54,244.70,239.42,274.45,262.02,
393.61,459.12,392.20,369.70,293.33,253.97,243.89,238.80,273.68,261.59,
394.04,459.31,392.40,369.68,292.95,253.71,243.78,238.66,273.88,261.67,
394.47,460.29,393.60,370.58,293.79,254.43,244.40,239.17,274.81,262.49,
394.89,464.61,397.54,373.76,296.60,256.19,246.47,241.28,277.20,264.60,
395.32,472.96,403.98,380.04,301.57,260.01,250.67,245.17,282.00,268.82,
395.74,484.71,414.17,389.29,308.81,266.44,256.58,250.93,288.82,275.43,
396.17,500.61,426.88,401.51,318.53,274.56,264.40,258.59,297.48,284.19,
396.59,518.84,442.67,416.79,329.92,284.52,274.13,268.04,308.40,294.77,
397.02,538.81,460.18,433.02,342.83,295.44,284.85,278.25,320.55,306.23,
397.45,559.50,477.29,449.62,356.15,306.52,295.62,288.94,332.66,317.89,
397.87,580.42,495.67,466.37,369.25,317.66,306.36,299.70,344.76,329.63,
398.30,600.80,513.09,482.69,382.52,328.26,316.48,310.01,356.76,340.72,
398.72,619.47,528.89,497.78,394.81,338.92,326.29,319.37,367.90,351.19,
399.15,638.00,544.56,512.58,406.65,349.17,335.64,328.55,378.73,361.82,
399.57,657.20,560.70,527.97,418.48,359.34,345.17,338.27,389.76,372.75,
400.00,676.36,577.08,543.63,430.57,369.62,355.11,347.85,400.77,383.60,
400.42,693.94,591.86,557.47,441.91,379.00,364.17,356.89,410.99,393.43,
400.85,710.43,604.94,570.86,451.79,387.30,372.42,364.84,420.42,402.25,
401.27,725.50,617.02,582.45,460.26,395.04,379.44,372.30,428.89,410.43,
401.70,736.49,625.97,591.45,467.86,401.03,384.74,377.62,435.08,416.59,
402.12,743.80,632.16,597.28,472.13,404.94,388.27,381.35,439.26,420.59,
402.55,748.77,636.84,601.40,475.15,407.76,391.29,384.09,442.77,423.50,
402.97,751.63,638.90,603.18,476.55,408.97,392.50,385.46,444.48,425.10,
403.40,752.50,640.12,604.38,477.03,409.54,392.94,386.15,445.10,425.92,
403.82,754.25,641.70,605.31,477.39,409.81,393.29,386.62,446.12,426.24,
404.25,755.27,642.22,605.70,477.50,410.11,393.45,386.72,446.50,426.41,
404.67,756.02,642.05,605.50,477.25,410.39,393.19,386.18,446.67,426.60,
405.10,756.72,642.29,605.63,477.08,410.36,392.94,386.15,446.75,426.84,
405.52,757.41,642.81,606.40,476.84,410.68,393.39,386.50,447.09,427.38,
405.95,757.70,643.12,607.10,476.71,410.46,393.64,386.34,447.26,427.41,
406.37,758.02,642.55,607.05,476.69,410.08,393.62,386.18,447.61,427.13,
406.80,759.72,644.18,608.24,476.87,410.30,393.92,386.75,448.34,427.85,
407.22,762.24,646.18,609.58,478.98,411.42,394.63,387.73,449.61,428.69,
407.65,762.71,646.69,610.09,479.83,412.10,394.89,387.53,449.74,428.85,
408.07,764.61,648.12,611.31,480.02,412.76,395.73,388.66,451.13,430.21,
408.50,768.00,650.88,614.19,481.97,414.38,397.57,390.26,453.31,432.44,
408.92,770.83,653.97,617.07,483.97,416.12,399.35,391.57,454.95,434.28,
409.35,775.85,658.18,621.12,487.11,418.36,401.37,393.63,457.79,436.69,
409.77,781.98,662.58,625.64,490.55,420.91,404.10,396.16,460.78,439.33,
410.20,787.18,666.36,628.86,493.80,423.63,406.25,398.06,463.18,442.03,
410.62,792.33,670.20,632.52,497.33,426.13,408.33,400.17,465.93,444.77,
411.04,796.82,674.37,636.48,499.87,428.47,410.87,402.70,468.81,447.52,
411.47,800.47,677.76,638.97,501.89,429.98,412.85,404.51,471.24,449.68,
411.89,803.86,680.17,640.96,504.00,431.16,414.29,406.14,473.10,451.32,
412.32,806.97,683.57,643.49,505.47,433.09,415.86,408.19,475.31,453.43,
412.74,811.37,687.37,646.76,508.50,434.93,417.42,409.98,477.87,455.60,
413.17,813.95,689.99,648.88,510.11,436.55,418.66,411.04,479.18,456.79,
413.59,816.06,691.62,650.63,510.81,437.58,419.88,412.30,480.36,458.18,
414.02,820.08,694.29,653.35,511.89,438.93,421.34,413.88,482.47,460.30,
414.44,822.57,697.37,655.92,513.55,440.70,422.83,415.01,484.14,461.80,
414.86,824.37,699.39,657.11,514.99,441.41,423.49,415.84,485.11,462.60,
415.29,825.85,699.44,659.07,515.73,441.63,423.71,416.30,485.65,462.81,
415.71,826.75,700.18,658.96,515.58,441.49,423.57,416.40,485.85,462.88,
416.14,826.81,700.13,658.47,516.24,441.67,423.39,416.36,485.94,463.01,
416.56,825.69,699.71,658.44,515.10,441.18,422.73,416.12,485.67,462.45,
416.99,825.31,699.35,658.25,514.12,440.77,422.49,415.98,485.25,462.49,
417.41,824.28,698.31,657.07,513.54,440.42,422.04,415.50,484.85,461.99,
417.83,823.95,698.34,657.63,513.40,440.81,421.76,415.85,485.22,461.82,
418.26,824.47,699.24,658.22,513.02,440.49,421.49,416.17,485.80,461.96,
418.68,825.39,699.00,658.30,513.53,440.46,421.28,415.76,485.58,461.55,
419.11,825.19,698.66,657.60,512.46,440.26,420.78,415.08,484.73,460.91,
419.53,826.32,697.90,657.18,512.18,440.18,420.38,414.92,484.66,461.35,
419.95,826.50,697.92,657.94,511.92,439.98,420.32,414.59,484.67,461.50,
420.38,825.50,697.28,657.59,512.23,439.62,420.09,414.23,484.20,461.07,
420.80,824.52,695.20,656.65,511.44,438.57,419.42,413.63,483.37,459.93,
421.23,824.60,695.25,656.12,510.57,438.18,419.02,413.49,483.17,459.98,
421.65,825.29,695.65,655.41,511.51,438.03,418.44,413.04,483.26,459.75,
422.07,824.68,694.55,654.31,510.85,437.78,417.93,412.21,482.32,458.84,
422.50,823.82,694.11,653.86,510.01,437.40,417.55,412.11,481.93,458.68,
422.92,823.78,693.56,652.76,509.62,436.75,417.04,412.03,482.08,458.46,
423.34,821.54,691.94,651.19,508.56,436.07,416.39,410.70,480.70,457.28,
423.77,820.16,690.86,650.84,507.26,434.29,415.40,410.01,479.91,456.12,
424.19,818.71,688.92,649.80,506.31,432.80,414.51,408.22,478.49,454.62,
424.62,815.20,685.24,646.24,503.89,430.87,412.37,405.68,475.71,452.15,
425.04,811.09,681.31,641.87,501.19,428.42,409.85,403.03,472.94,450.00,
425.46,806.75,677.66,638.20,498.27,425.85,407.78,400.99,470.45,448.11,
425.89,800.97,673.46,634.46,495.31,423.19,405.80,398.15,467.87,445.09,
426.31,793.92,667.42,628.08,490.91,419.55,402.37,394.98,464.08,441.34,
426.73,787.82,663.08,623.52,485.99,416.04,399.28,392.36,460.83,438.26,
427.16,783.40,659.17,619.20,482.83,412.87,395.77,389.26,458.03,435.08,
427.58,776.16,652.92,613.23,478.54,409.19,391.57,385.03,453.64,430.15,
